Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
RELAX Bubbles,Sparkling & Champagne,12.99,750,3.5,30,Non-Vintage Sparkling Wine from Germany,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCQA23x9VKjzw4qg6_Et18V5SmEzPsV1o1h3xWQYIisQZwQRtc2uJ9L_-nnYA&s
RELAX Pink Rose,Pink and Rosé,12.99,750,3.5,62,Rosé from Spain,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSnl4EsMiLOgoIoy24S04QGD2omspi6ydyxeN-K7FQb5mFEnpXz3pT8nf4wWA&s
Revolution Wine Company El Libre Cabernet Sauvignon 2020,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Mendoza / Argentina,13.2,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb4-vzoef6N_FRtxmGtmIFZMEKikxhdx1HXolWkf8qwbCRtmCqNd5dbNLdW4o&s
Revolution Wine Company El Libre Malbec 2020,Red Wine,12.99,750,0,0,Malbec from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ8b-gkcv8qWOh7YYhiAKJMiUUooj7uQbwtFmmk6c8mQOwpy4jLdthacNCqwKM&s
Rib Shack Red Blend 2020,Red Wine,12.99,750,4.4,8,Other Red Blends from South Africa,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTD0We5uBwfk__wxWiKay18pxlS3P91DaksfcR3sANlI3D4zrdupXNDYpnocw&s
Ricco Dolce,Red Wine,12.99,750,4.3,148,Other Red Wine from Italy,6.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSK7HZlhe58qyEmovf1fxPZykRl1GQezBKUI_z82VM78l43_qLV_S6K52Rca1w&s
Rickshaw Sauvignon Blanc 2021,White Wine,12.99,750,0,0,Sauvignon Blanc from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSlNI2niMSWZvP_z9reLrEErLe6lYg4FX44xiP-FwuTLb3u408IHBMcBNeeQ&s
Riff Pinot Grigio 2021,White Wine,12.99,750,0,0,Pinot Gris /Grigio from Veneto / Italy,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRqQZ_hbuwiblj96gYimYOorwRuF3E3m6BrQ6RwUfnJXSw-29beSOOZLmhh0RQ&s
RJ Vinedos MDZ Malbec 2020,Red Wine,12.99,750,0,0,Malbec from Mendoza / Argentina,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGZRV9hnScctsDzAIyKui6ey1N_G7Q4k89TKjwF2RemIxbsMWT7x1S871ivr4&s
Rocca di Montemassi Le Focaie 2017,Red Wine,12.99,750,0,0,Sangiovese from Tuscany / Italy,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXnP5NVIJE-unXMf0uRIs2YnBA92Ay9HwninFaZDNrzcsiHhy6OK9emmGy_vw&s
Root 1 Pinot Noir 2019,Red Wine,12.99,750,0,0,Pinot Noir from Casablanca Valley / Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4hfOlK7jE1ZT8Tsc-3_nKNADmfgn_56jCn2DTv8jCsNR8NXF5_SkTOg8klg&s
Root 1 Sauvignon Blanc 2021,White Wine,12.99,750,0,0,Sauvignon Blanc from Casablanca Valley / Chile,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREhf49Pb77iZZyu9Xvk3-emmidGXWb-dWGMySw-4p6GOgL7mBGfbYatB4cTxI&s
Root 1 Carmenere 2019,Red Wine,12.99,750,3.8,17,Carmenere from Colchagua Valley / Rapel Valley / Chile,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQYV2SGnN80T3F_iy4mVf6BPMvK46n8N8MGUJNuoe_VfkC_e4bkrtgrIUT3fQ&s
Roscato Bianco Dolce,Sparkling & Champagne,12.99,750,4.3,182,Non-Vintage Sparkling Wine from Trentino / Trentino-Alto Adige / Italy,8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQDGmIcxITVgIrKqidSE6XIkH0zkDeG0tSoEFKUGMrXTnVtN7gwTq587qSGOQ&s
Ruffino Chianti Superiore 2019,Red Wine,12.99,750,3.9,20,Sangiovese from Chianti / Tuscany / Italy,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1XAiIepmaHCY8fZYxW8ngjFvPlQcM0Y7WA-pRQDG0GHIgQdRHxGDE570GZQ&s
Rutini Trumpeter Cabernet Sauvignon 2020,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGpNUsT9khUQ_S-bKw2S2mH9WMaETL3ldvVBJ3RfMsQ32AF0TFhTUR3Sd0yg&s
Ryan Patrick Naked Chardonnay 2021,White Wine,12.99,750,0,0,Chardonnay from Washington,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTHaIze5AFtEGG5dAjBw0rXYAn-_PUP6T-khGluQZUmrulBFblwndOKVEZiFA&s
Santa Carolina Reserva Pinot Noir 2019,Red Wine,12.99,750,3,5,Pinot Noir from Leyda Valley / San Antonio Valley (Chile) / Chile,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTk-lmNuchiWpZ4uqKP8IGptE-37nt9zu3BiT9dpM2LSK9-ZT4GQTHdn7O7P2M&s
Santa Ema Select Terroir Chardonnay 2019,White Wine,12.99,750,0,0,Chardonnay from Casablanca Valley / Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgrIQeymgihDcJeKdV8zYDfRCjzGYS_aSBZN-CHTlvKHl_M-deN5C-v69llQ&s
Santa Ema Select Terroir Cabernet Sauvignon 2020,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Maipo Valley / Chile,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT84ofpYsFaoyqfuYYNo9bJNMbpMyC3cQ4nJCTeMW-dR_xA0lQ9mPKJSYGsww&s
Santa Ema Select Terroir Sauvignon Blanc 2021,White Wine,12.99,750,0,0,Sauvignon Blanc from Chile,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSQl33-dK_XtsSkD3UVt34ltPO_SCpp76BVN6FTEDMpEbpE2qsMs5-SIlHxBpc&s
Santa Julia Plus Torrontes 2021,White Wine,12.99,750,0,0,Torrontes from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRoGDqeLjtq0lJP6l-ytwlkQf41exv-DCKD50Zx24SRhaTGhMnxioGWc0bDUU&s
Santa Julia Tintillo Malbec Bonarda 2020,Red Wine,12.99,750,0,0,Other Red Blends from Mendoza / Argentina,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGNESBWb2EVLpEXISaxSZ9bRU6ZK1yN8x7WhalSrQ2A1R9AR7J-7QrLZ-mFQ&s
Santa Julia Organic Tempranillo 2021,Red Wine,12.99,750,0,0,Tempranillo from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQqeQkPawYEHjxqkx7omaL0UvlZ0cVMY8dmQuGuq-7vFTgNDM988M0-5l1spw&s
Santa Julia Organic Cabernet Sauvignon 2021,Red Wine,12.99,750,3.1,21,Cabernet Sauvignon from Mendoza / Argentina,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrK38xNCkz5V9Ke_ZtAMDtKNvzrCO9Feycipnrkb86fYx4Khil591RxE6X8w&s
Santa Julia Organic Chardonnay 2021,White Wine,12.99,750,2.8,20,Chardonnay from Mendoza / Argentina,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQhgGZNa7gVPkMPiJwy5Zd-bV_GdCfc__GsgA2RnQoj1B61xiaKbqDjdKTmQw&s
Santa Marina Prosecco,Sparkling & Champagne,12.99,750,3.6,10,Non-Vintage Sparkling Wine from Prosecco / Italy,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJz2wEqaWOwInkMxD83eBAeufxFJ4MDomlhVZK7h5XGNRq1xu1HjUhebackA&s
SeaGlass Chardonnay 2020,White Wine,12.99,750,3.6,6,Chardonnay from Santa Barbara / Central Coast / California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTAGMTA_4R-HUs3sSLrCWPrADsP2JaarY7qc4vFElVbsBTNIfwpuhw9-TcnQA&s
Segura Viudas Cava Brut Rose,Sparkling & Champagne,12.99,750,3.9,302,Sparkling Rosé from Cava / Spain,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJs6UAYQQTOZGmhFS7pH13ElYXonmMiY_nYbSlLFoIB8xuTALHORqQ5ef4dv4&s
Septima Cabernet Sauvignon 2020,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Mendoza / Argentina,14.3,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0dXIFeM6JR2ty1WzG_ywNruyMq6Q5rEAn0Hcr7ryhsUGN6PSktPUxJ2Uepw&s
Silk and Spice Red Blend 2020,Red Wine,12.99,750,4,64,Other Red Blends from Portugal,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5AnmWAi2mtmYuCTpa2gHS88FNPlirMVFr3MxovmRxxaQ_ezfnsdGAaAAdWUI&s
Simple Life Cabernet Sauvignon 2019,Red Wine,12.99,750,0,0,Cabernet Sauvignon from California,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTq-Ar6baMoeapWDRm1xBLAMAsKgrCxZzMuyNmD-cXF-1sFmven84d8fnyNpHk&s
Smoking Loon Steelbird Unoaked Chardonnay 2021,White Wine,12.99,750,0,0,Chardonnay from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTjdV199UQceSQpaNcGueoVghsCoMgW2edIY2wdR-bfcAvSaYNsjH20nnzSg&s
Smoking Loon Pinot Noir,Red Wine,12.99,750,0,0,Pinot Noir from Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT05jDugKliEvIq9RlRyFLF2hCoUL3HpEjQ4kWvnIPUEKtgbxcJzs5uMMvEJg&s
St. Francis Chardonnay 2020,White Wine,12.99,750,3.9,7,Chardonnay from Sonoma County / California,14.1,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSrnQ9z9TNqd9ErEcysp1TwSBgFaoyxEo8uWC8Ig_jQADgF7CRvCHN0fBcEF5w&s
St. Kilda Shiraz 2019,Red Wine,12.99,750,0,0,Syrah /Shiraz from Yarra Valley / Victoria / Australia,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJIGcMXgK0yvONPRQg_-rMw5hueKzYS4gWGpAp3Z0Qmp7ql0DLrh9VG_r25w&s
Starborough Starlite Sauvignon Blanc 2021,White Wine,12.99,750,0,0,Sauvignon Blanc from Marlborough / New Zealand,9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTSNp0vic0iPw8e9FeeWH9soq_NtRdWgWDq09G81FoexCzqgakxcELsxIliPA&s
Starmont Chardonnay (375ML half-bottle) 2017,White Wine,12.99,375,3.2,10,Chardonnay from Carneros / California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZCKkgcad1T74OIkbs_2v1yL1tbjDtUiE2ITosu223MauQ1gm6tAcj1feaLw&s
Stone Cellars Merlot 2020,Red Wine,12.99,750,0,0,Merlot from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTuReREz-vHc4xBSBPfliGtkUdU2k0RUjvUKPFlnMoxdtCvwRCk_RjejJyUnKQ&s
Tenuta Sant'Anna Prosecco Frizzante,Sparkling & Champagne,12.99,750,0,0,Non-Vintage Sparkling Wine from Prosecco / Italy,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTjP3J99sC6nSM5wVM-fDsWpRkJhkWMPZ7PT571Olhr_jzK6TYNNncdHI-QO_w&s
Silk and Spice Red Blend 2020,Red Wine,12.99,750,4,65,Other Red Blends from Portugal,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR5AnmWAi2mtmYuCTpa2gHS88FNPlirMVFr3MxovmRxxaQ_ezfnsdGAaAAdWUI&s
TerraNoble Cabernet Sauvignon 2021,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSN1CHX1yNqrGCMaKO4Lgckc375NzdnNytRlHRyRm2c1d2WEO6_ua_p2wF5sA&s
TerraNoble Sauvignon Blanc 2021,White Wine,12.99,750,0,0,Sauvignon Blanc from Casablanca Valley / Chile,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRtKnyI4fYEXl6-oBwnrFe_hnzljpHJmbRFuGvDS5F3MEZIcElwLp_6pGTQHw&s
Terrazas de los Andes Altos del Plata Chardonnay 2019,White Wine,12.99,750,3.9,6,Chardonnay from Mendoza / Argentina,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRuudqvQUHfKnMngBj3G0vUEWLNbGhXtUNBKPA75PdsbHpTJGN3kj84FmYlItw&s
The Beachhouse Pinot Grigio 2021,White Wine,12.99,750,0,0,Pinot Gris /Grigio from Lombardy / Italy,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSKifLReleFNiyHnWk3QMXCqUYcbC1Xuu-R7BgDjgidtPhW9kw372Nw_BVXkKc&s
The Pinot Project Rose 2021,Pink and Rosé,12.99,750,0,0,Rosé from France,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSjWF3PfL7o8_HDzj_wiOFYCXxCE83NluqPPRPPQQ1iISR00qhmA6GYgA3t0yc&s
The Winery of Good Hope Bush Vine Chenin Blanc 2021,White Wine,12.99,750,4.7,35,Chenin Blanc from Stellenbosch / South Africa,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4jPphTZolS5c3NtOnU6HUpnoe6F53d3opj4MaNIvEtc3imPDip8y258DdE2Y&s
Tilia Merlot 2021,Red Wine,12.99,750,0,0,Merlot from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTxnDkT9e1rcNUje0PZ8w35qgXwSCbsKdRvK8MmpZdD1mJi6tV4T36abV4AcQ&s
Tilia Bonarda 2019,Red Wine,12.99,750,3.6,5,Bonarda from Mendoza / Argentina,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRjbwvIUEJdhxWCIFjWNaQ4ARKF66Dy5XmBk4VkQok7-EsJ0e_tCaz0cfppd2o&s
TintoNegro Uco Valley-Mendoza Malbec 2020,Red Wine,12.99,750,0,0,Malbec from Uco Valley / Mendoza / Argentina,13.4,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYZ_cmSz31DVkoExJsS9GAWv-bUfKwcJWboiIwcPNWKDr4iXl22gApaJ0p2YI&s
Toscolo Chianti 2019,Red Wine,12.99,750,3.6,14,Sangiovese from Chianti / Tuscany / Italy,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDwRIf21JnAq1qgLh-mEeaT2iP4a6ArYLfZ5bGi7NWPyskQB_GVt7mq6xLyg&s
Trinity Oaks Chardonnay 2020,White Wine,12.99,750,0,0,Chardonnay from California,13.6,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwfdRIbdRPmZochO9XPBq3DdLZjHQ92v80IUb21uhj8gX56ZAWFE5uw_4_Mg&s
Trivento Reserve Cabernet Sauvignon 2020,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Mendoza / Argentina,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQladoknThc93gOG8Se74tIra4cboKwFeD1Hr6l-Wa84vJtqVuXCG4mCERPMA&s
Undurraga Sibaris Cabernet Sauvignon Gran Reserva 2014,Red Wine,12.99,750,3.8,16,Cabernet Sauvignon from Maipo Valley / Chile,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZoVfK_cPXh6CYspZRCXVYkgvZIAiizyJ4BiAot_KKdtCLOpt3Bex5pVtfFRE&s
Veramonte Pinot Noir 2019,Red Wine,12.99,750,3.2,5,Pinot Noir from Casablanca Valley / Chile,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAXJdJCdst6npbKTYVpjwXqk7YlR7fQseAZVFkrjfBnUike3i4sieApJJLQH8&s
Veramonte Cabernet Sauvignon 2019,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Maipo Valley / Chile,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRQsRoL84sJ7X-FnGoJhoVvB8GY9yv6MqtzZ0IB95zHw0Mn1YLp3Auxd3vr7g&s
Veramonte Cabernet Sauvignon 2018,Red Wine,12.99,750,0,0,Cabernet Sauvignon from Maipo Valley / Chile,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQlrZGEUXGo1jv4jNTB5zdrrZjSpLS4Jjlm6txSxsVidPPYwNdlMLm69829FY8&s
Vidal-Fleury Cotes du Rhone Rose 2020,Pink and Rosé,12.99,750,0,0,Rosé from Cotes du Rhone / Rhone / France,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRHiu_V7YjAQhY5VzS9MFjeGhxGg-mFtun3jhIMkR0YJWkY5yxQ7xsQrcdeQA&s
Vigneti del Sole Peperino Spumante Extra Dry,Sparkling & Champagne,12.99,750,0,0,Non-Vintage Sparkling Wine from Veneto / Italy,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTh2lcdunGCQb2pVJUWAACZ3AvMQf2xI0IAAtylerIiu_zGCI5At6G_sD9jARw&s
Villa Jolanda Moscato Rose,Pink and Rosé,12.99,750,4.6,83,Rosé from Piedmont / Italy,9.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQU4G_6-wdu5exRpmXa0n0WymRwOmfObT5AU2FtgzWYWcYBDXXvOMrCl1XLmXI&s
Villa Maria Private Bin Sauvignon Blanc 2021,White Wine,12.99,750,4.1,78,Sauvignon Blanc from Marlborough / New Zealand,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQvAPEukvcCq1A9em8YkJxiCKRMFDUxWOsSpgFHNsV8pRhURgdIOC_g2PCnq7E&s
Villa Rosa Moscato d'Asti 2021,White Wine,12.99,750,0,0,Muscat from Asti / Piedmont / Italy,5.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS8pMCCk-QF8Y75JMcOuBHtYa-E0OW4Bprrv00xtWVFFscGA0T2_OU9yJlfXw&s
Vina Galana Tempranillo 2017,Red Wine,12.99,750,0,0,Tempranillo from La Mancha / Spain,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS7hOTmVcJrJOHGeWjsLLX_JBSKkVocTMZGwUgGi3FSg8xhpDRTvjwxTSGh2g&s
Vinos Atlantico Vera Vinho Verde Rose 2021,Pink and Rosé,12.99,750,0,0,Rosé from Portugal,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRt9S_DvpQovxS_FL0cKc4x5hEIFtQuvraamDONJQghSHODfCT-879862-kGZ0&s
Vinos de Arganza Lagar de Robla Premium Mencia 2020,Red Wine,12.99,750,4.8,29,Mencia from Bierzo / Spain,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSa4eCxJcM72Hbh0vo5lILCmeWpMTozBmha6-pITpyt_VwDpIoBNk3MxG021kY&s
Vinos de Arganza Flavium Premium Crianza Mencia 2020,Red Wine,12.99,750,4.7,27,Mencia from Bierzo / Spain,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTkIAoOKR4cbTzKLFapMTGUliSgZ_p_88bmmX_U7YNHdWJGbYal2zAGSAomuUw&s
19 Crimes Snoop Cali Rose 2020,Pink and Rosé,13.99,750,3.9,32,Rosé from California,10.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQfHjeIo8nMkxZ0FEV2gTcAwERCN1fkhUryE95kwqRDUWO7GKzL4a6VL7wdl40&s
19 Crimes Snoop Cali Red 2020,Red Wine,13.99,750,4.3,126,Other Red Blends from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRJWp4eFIuMMTfy2_FBaTXBWP63mYCik6Jyo2p3Al9geAhoypUdRSJ5YqC2Wg&s
19 Crimes Martha's Chard 2020,White Wine,13.99,750,3.8,24,Chardonnay from California,13.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTT1kiJhQ-aWVxWZOf_iqkNkGwDrUb1vvGXgMUlJA8vUhC23EU5dqKVHKo-JTk&s
Acinum Extra Dry Prosecco,Sparkling & Champagne,13.99,750,3.8,90,Non-Vintage Sparkling Wine from Prosecco / Italy,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRAFueMZgh8U6NvazcWEzDTqqPbrINPJelLwAjLSgyg7W4_8LTHo9Qg0I04ZA&s
Agusti Torello Mata Xic Xarel-lo 2020,White Wine,13.99,750,0,0,Xarel-lo from Penedes / Spain,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT4Y0veZixZM-rjUrT1LyE3Odi_6h_inRGKRwMRQ0c7bwv0snUrHWXlVxnG3A&s
Alain Brumont Cotes de Gascogne Blanc 2021,White Wine,13.99,750,0,0,Other White Blends from Southwest / France,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQy7WOgboCq5bMiKKeKqN5juQKPV2k9lRJR6jJxqdV3NIm16zLaGnqV0UUm1Ps&s
Alfredo Bertolani Rosso All'Antica Lambrusco,Red Wine,13.99,750,3.8,26,Lambrusco from Emilia-Romagna / Italy,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdo5mDMHWhNhv2vP1qGfvXtlRcqDmocJS_Hg78aVpJGUCSEaTiJfqAYNZmH9s&s
Altos las Hormigas Clasico Malbec 2020,Red Wine,13.99,750,0,0,Malbec from Uco Valley / Mendoza / Argentina,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSYr_Q9hyKJbi9O05ZJVYAqSURHkHr-GTYLBm3CCDbol4AQmo04YGf7RIw_aA&s
Angeline Rose of Pinot Noir 2021,Pink and Rosé,13.99,750,4,10,Rosé from California,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTW0KnHMrC7JnAvQZWTk6H-85e6I6orSit_mLR7UMtZwznVPlW1vn-F6Kam8w&s
Apaltagua Reserva Pinot Noir 2018,Red Wine,13.99,750,3.6,17,Pinot Noir from Curico Valley / Chile,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTbRR9XydpZkxOXgPaKILMs7jA4DC-97YoxIrLNDzEyYd7IYeD9Ps1RwO_X_g&s
Apothic Crush Red Blend 2020,Red Wine,13.99,750,0,0,Other Red Blends from California,13.9,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqTSECCK7p_J1EvyJk5SGQcJXYdvMA-wgZIlswXEtxsPIqYcL-MinIr3Vw4Q&s
Apothic White Blend 2021,White Wine,13.99,750,0,0,Other White Blends from California,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRGfYfHQ5a1Z85BtwNM3tB-f7G9BYCrcWaV5Tz19c6RY2KPdWKgeB2cXv0Ka4Y&s
Auspicion Sauvignon Blanc 2020,White Wine,13.99,750,0,0,Sauvignon Blanc from California,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSZSUiW9hI2-2SljSbCGd435EwIXcOntijgtwP-bEB_XKhRG6RKQd3SHl9zWA&s
Auspicion Chardonnay 2020,White Wine,13.99,750,0,0,Chardonnay from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTtfV8-MjRRDz8szXw-Ur6bCLsz7WQHIo1yWrPteg9Goj94Evw55u2eyEr95w&s
Auspicion Sauvignon Blanc 2021,White Wine,13.99,750,0,0,Sauvignon Blanc from California,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNBrgKj_6-9yDjYUABs1pUMRBk3Bxu4f84kUot3aZVPvM2736erGEcDJGinw&s
Avalon Chardonnay 2021,White Wine,13.99,750,0,0,Chardonnay from California,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_F04KrW1Xlh8ycK8jW37Tx2s9YkZEvPw4Bkmd7RCRaxdTrmvAWsPPgurrwQ&s
Avissi Prosecco,Sparkling & Champagne,13.99,750,3.9,54,Non-Vintage Sparkling Wine from Veneto / Italy,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS0rw5ls64arx8cfi1Ug4dbttOBSUSrEFkF81muLjQWtPMWU9e1hRYRMiaQTQ&s
Banfi Chianti Superiore 2020,Red Wine,13.99,750,0,0,Sangiovese from Chianti / Tuscany / Italy,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQm9g5B7lwxpjuRUk47DWzriLzTn1XuiS7xlbvsI_wKPWlbF0rPh02CJSWw04w&s
Banfi Centine Toscana 2020,Red Wine,13.99,750,0,0,Tuscan Blends from Tuscany / Italy,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTJMiSz-29ws_ejhc5PZ9Gda2jyOqJQPv2Hl-8JHiozbi7M1tPFJclp8U3JF9Q&s
Banfi Chianti Classico 2020,Red Wine,13.99,750,0,0,Sangiovese from Chianti Classico / Chianti / Tuscany / Italy,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRwqRzLpN5mN9tW6CijHpmGa3eYo69-EBjQ6giMl1xHeyup_VEk4jv7vmgGQog&s
Barkan Classic Pinot Noir (OK Kosher) 2020,Red Wine,13.99,750,0,0,Pinot Noir from Israel,11.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRcHQT9kbSquLKhrUXf4W1P8tzkGPpIRJLsMhzVrFQvBT1JArM4PcEOMVA5E2s&s
Barkan Classic Cabernet Sauvignon (OK Kosher) 2020,Red Wine,13.99,750,0,0,Cabernet Sauvignon from Israel,13.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSdZQWNP_R7u60HDqB8hRGcYMC2sRgcbdQjB-2DvKKADQmF9wOFx4pfIuoQ7Ms&s
Barnard Griffin Rose of Sangiovese 2021,Pink and Rosé,13.99,750,0,0,Rosé from Columbia Valley / Washington,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQtfYkCOkOismaTCgaUFBCefe7Fx3SQ_fH3p1Em_rmmax3NsIVp5XojTU5AE60&s
Barnard Griffin Sauvignon Blanc 2021,White Wine,13.99,750,0,0,Sauvignon Blanc from Columbia Valley / Washington,12.8,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR9WIsYWbf-XjKq3yCFr4tkUVzFYSAJ8FCGoTcicHSYq2vcx1Jem_9pSdkxdA&s
Baron Herzog Sauvignon Blanc (OU Kosher) 2020,White Wine,13.99,750,0,0,Sauvignon Blanc from Clarksburg / Yolo County / California,14,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQV-TN7KHJgOva4GwhNwbrGBvmWwVMFhpiUpVy944gqvlIlWDrKamU7MLrnc40&s
Baron Herzog Cabernet Sauvignon (OU Kosher) 2019,Red Wine,13.99,750,0,0,Cabernet Sauvignon from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTgVb1B-ykeJ62kibsO4EMXwMP4t4NXFOOpoytXrbgVPJhHx49pnnUVexxJtw&s
