Name,color_wine,Price,ml,Rating,RatingNum,Country,ABV,img
Underwood Cellars Rose (375ML Wine in a Can),Pink and Rosé,7.99,375,3.9,14,Rosé from Oregon,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRr5pFxx7bUW9zsk1RPLernf9iEU9u1eqidGIKQZSyEiQTHmEBIvEnEj4cd3R8&s
Underwood Cellars Bubbles (375ML Wine in a Can),Sparkling & Champagne,7.99,375,4.2,21,Non-Vintage Sparkling Wine from Oregon,11,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMpqxHia4fu8ZNzTP2rxYbYXKp0fZQ--QRH7PyoyF_kAc3ER12PC6n5kRw&s
Underwood Cellars Pinot Gris (375ML Wine in a Can),White Wine,7.99,375,3.2,15,Pinot Gris /Grigio from Willamette Valley / Oregon,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQXPS1kurLdOF9LuCB2e2KzKDPVnlT8zHvuFATFifX6HFy3CS3RoWOIPxrwIw&s
Underwood Cellars Pinot Noir (375ML Wine in a Can),Red Wine,7.99,375,3.6,35,Pinot Noir from Oregon,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWyDWPQkFoH3TGRbc0UVVS4VTO0haIXNUNwMwJx_LzokJbPcBt7yZIUD0t95U&s
Une Femme The Callie Sparkling Rose (187ML Split),Sparkling & Champagne,7.99,187,0,0,Sparkling Rosé from California,12,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSo3f1bECJFbh9_IPBzjZcYH_zfSIWsIUEPSF59hqob0Kbu4TTuNcS25zs70w&s
Chateau La Freynelle Blanc (375ML half-bottle) 2021,White Wine,8.99,375,4.8,11,Bordeaux White Blends from Bordeaux / France,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSRzpo1P9sOL3DjgcxSvlSkeecTFiZpZ2uWdIA_0K3LdF8dwP8EAi1V_ZB2sZM&s
Cline Ancient Vines Zinfandel (375ML half-bottle) 2019,Red Wine,8.99,375,0,0,Zinfandel from California,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmtzUO1MN_zn_H-zMaWzlXpQ6mZ0lQxo9ivckiJ2dL-ylqSL_EOWHvYe6J69o&s
Cline Lodi Old Vine Zinfandel (375ML half-bottle) 2019,Red Wine,8.99,375,0,0,Zinfandel from Lodi / California,14.25,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSMvUgZ0rozkJwix0bSb9WY_h2cfz1XV5G_BoABRl6jylwB5fVxcgmCLdhKug&s
Cono Sur Bicicleta Chardonnay 2021,White Wine,8.99,750,0,0,Chardonnay from Chile,13,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRgXkR_XhAJRaHC-BwKCqLmEdDQjsP-rWIlkaCuJ5SQqH7M8oiDPm6BtLyPug&s
Dark Horse Buttery Chardonnay 2020,White Wine,8.99,750,3.8,29,Chardonnay from California,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTZAxToxLaFYDZCLMBLnfJV6QQcpjrEH_0ZW6zkLxZzSCFUm-q_QT8i7DakaQ&s
Dark Horse Sauvignon Blanc 2021,White Wine,8.99,750,4,8,Sauvignon Blanc from California,0,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRNzUdvGYHx1UmmFscGGdoAUaCbAMWHQuJaEgDxML89H62GZ-fFrcxsHio-nBg&s
Dark Horse Cabernet Sauvignon 2020,Red Wine,8.99,750,3.5,29,Cabernet Sauvignon from California,14.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRrsLvqzMmC2P2gUvf4ZWUuyVLIRFHdGix8UI-gjjqgumY4nJT_Yip1q1QwgQ&s
Dominio de Eguren Protocolo Rose 2021,Pink and Rosé,8.99,750,0,0,Rosé from La Mancha / Spain,12.5,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS1_s21Ca-h2iwa_JrqDTPtlfNOP6LnUeyXBNaG80ODKpMzeANjpXISeOyXng&s
